ID,AsetTarget,JudulPembanding,Sumber,Harga,StatusValidasi,StatusKecocokan,CanonicalUrl,CanonicalUrlHash
PB-001,"Rumah Tipe 45/90","Rumah sekunder Kawanua Emerald City","Pinhome",600000000,DITERIMA,LAYAK,"https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-lokasi-strategis-dekat-mall-di-kawanua-emerald-city-manado-jl-a-a-maramis","940aa6f34615e8640446ae2495e53432448089bc38aab13e8cd48c0e0c099f86"
PB-002,"Rumah Tipe 45/90","AKR Kawanua Emerald City Type 45","Rumah123",662000000,DITERIMA,LAYAK,"https://www.rumah123.com/perumahan-baru/properti/manado/akr-kawanua-emerald-city/nps1977/","d2426c6e0c7a99b3f9ea50736fc45f8350c32ebcbd003f162bd1a7e28762a11a"
PB-003,"Rumah Tipe 45/90","Grand Tikala Manado Type 45/90","Instagram Grand Tikala",690000000,DITERIMA,LAYAK,"https://www.instagram.com/reel/C2jLoetREyF/?hl=bn","08b259cd3e4afb996b8ec8aba7b25ef27809b7707f78e2aeec0a4b81653a0895"
PB-004,"Rumah Tipe 45/90","Rumah 1 lantai Grand Tikala","Pinhome",766700000,DITERIMA,LAYAK,"https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-1-lantai-di-tengah-kota-manado-sulawesi-utara-di-tikala","8397551d70fbdfb4f963c90984ace63c5058f4c8f6d8c2299386d2df9e3860fc"
PB-005,"Rumah Tipe 45/90","Grand Tikala Type 45/90","Facebook Marketplace/Group",800000000,DITERIMA,LAYAK,"https://www.facebook.com/groups/1408649662768411/posts/4040648599568491/","a661995f340ac7a28c7edc260989f4e3df5c4fc7682912346a65ea54bf994dde"
PB-006,"Ruko 2 Lantai","Ruko 2 lantai 104 m² Tuminting","Rumah123",828000000,DITERIMA,LAYAK,"https://www.rumah123.com/jual/manado/harga-dibawah-1-m/ruko/","bbf3afb20408dcb072bcaeabc635535a856d762747bba7c73f12f15ac74588b8"
PB-007,"Ruko 2 Lantai","Ruko CitraLand 2 lantai","OLX",1100000000,DITERIMA,PERLU_TINJAU,"https://www.olx.co.id/wenang_g5006243/properti_c88/q-ruko-dijual","7b5e21fcb4e06481d963a80304da153b41021e85f259a2ba8274b67af3722d65"
PB-008,"Ruko 2 Lantai","Ruko 2 lantai 140 m² Jl. AJ Sondakh","Pinhome",1800000000,DITERIMA,LAYAK,"https://www.pinhome.id/jual/sulawesi-utara/manado","24f9b90671925209906b232dc68c01bdffa8882492d509d7a3c0bf3a2fb43b9e"
PB-009,"Ruko 2 Lantai","Ruko 2 lantai 157 m² Jl. Garuda","Pinhome",1800000000,DITERIMA,LAYAK,"https://www.pinhome.id/dijual/ruko-sekunder/unit/dijual-ruko-di-jalan-garuda-manado","c19ff67d06ca6804c4c6dc7363dc7cab8e1b905b5dc30e209832ebd43096fe8c"
PB-010,"Ruko 2 Lantai","Ruko 2 lantai Jl. Lumimuut","Pinhome",2565000000,DITERIMA,PERLU_TINJAU,"https://www.pinhome.id/dijual/ruko-sekunder/unit/dijual-ruko-2-lantai-di-jalan-lumimuut","9626a010d40342989600c91943835d9a9c50739b9454508830268dc962edf139"
