responden_id,peran,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,total
1,Pakar AHP,5,4,4,5,5,4,4,5,4,5,45
2,Penilai Lelang,4,4,5,4,4,5,4,4,5,4,43
3,Penjual Aset,5,5,5,4,5,4,5,5,4,4,46
4,Pembeli Lelang,4,4,4,4,4,3,4,4,4,4,39
5,Staf IT,5,4,5,5,4,5,5,4,5,5,47
6,Pakar AHP,4,4,4,4,4,4,4,4,4,4,40
7,Penilai Lelang,5,5,4,5,5,4,4,5,5,5,47
8,Penjual Aset,4,4,5,4,4,5,4,4,5,4,43
9,Pembeli Lelang,5,4,4,5,5,4,4,5,4,5,45
10,Staf IT,4,4,4,4,4,3,4,4,4,4,39
11,Pakar AHP,5,5,5,4,5,4,5,5,4,4,46
12,Penilai Lelang,4,4,4,4,4,4,4,4,4,4,40
13,Penjual Aset,5,4,5,5,4,5,5,4,5,5,47
14,Pembeli Lelang,4,4,5,4,4,5,4,4,5,4,43
15,Staf IT,5,4,4,5,5,4,4,5,4,5,45
