field,value
scenarioId,"AUCTION-CYCLE-V3"
assetId,"64"
assetName,"Toyota Avanza 2019"
auctionId,"3"
nilaiLimit,"134761340"
hargaPembukaan,"107809072"
bids,"[{"bidId":6,"userId":28,"nominal":112809072},{"bidId":5,"userId":27,"nominal":108809072}]"
jumlahBidder,"2"
jumlahBid,"2"
hargaTertinggi,"112809072"
winner,"{"id":28,"email":"[REDACTED]"}"
waktuMulai,""2026-07-15T01:55:38.511Z""
waktuSelesai,""2026-07-15T01:55:40.511Z""
statusAkhir,"FINISHED"
assertions,"{"auctionIdNotNull":true,"bidCountGe2":true,"bidIdNotNull":true,"winnerDetermined":true,"winnerMatchesHighestBid":true,"statusFinished":true}"
status,"PASS"
