"Kategori","Kriteria","Bobot Asli","Delta","Bobot Baru","Spearman","Rank Reversal"
"Tanah dan Bangunan","Lokasi dan Aksesibilitas","0.286256","-0.1","0.25763040000000004","1","NO"
"Tanah dan Bangunan","Lokasi dan Aksesibilitas","0.286256","-0.05","0.2719432","1","NO"
"Tanah dan Bangunan","Lokasi dan Aksesibilitas","0.286256","0.05","0.3005688","1","NO"
"Tanah dan Bangunan","Lokasi dan Aksesibilitas","0.286256","0.1","0.31488160000000004","1","NO"
"Tanah dan Bangunan","Legalitas","0.245351","-0.1","0.2208159","1","NO"
"Tanah dan Bangunan","Legalitas","0.245351","-0.05","0.23308345","1","NO"
"Tanah dan Bangunan","Legalitas","0.245351","0.05","0.25761855","1","NO"
"Tanah dan Bangunan","Legalitas","0.245351","0.1","0.2698861","1","NO"
"Tanah dan Bangunan","Luas","0.144588","-0.1","0.1301292","1","NO"
"Tanah dan Bangunan","Luas","0.144588","-0.05","0.1373586","1","NO"
"Tanah dan Bangunan","Luas","0.144588","0.05","0.1518174","1","NO"
"Tanah dan Bangunan","Luas","0.144588","0.1","0.15904680000000002","1","NO"
"Tanah dan Bangunan","Kondisi Fisik","0.115004","-0.1","0.1035036","1","NO"
"Tanah dan Bangunan","Kondisi Fisik","0.115004","-0.05","0.10925379999999998","1","NO"
"Tanah dan Bangunan","Kondisi Fisik","0.115004","0.05","0.1207542","1","NO"
"Tanah dan Bangunan","Kondisi Fisik","0.115004","0.1","0.12650440000000002","1","NO"
"Tanah dan Bangunan","Fasilitas Sekitar","0.073163","-0.1","0.06584670000000001","1","NO"
"Tanah dan Bangunan","Fasilitas Sekitar","0.073163","-0.05","0.06950485","1","NO"
"Tanah dan Bangunan","Fasilitas Sekitar","0.073163","0.05","0.07682115","1","NO"
"Tanah dan Bangunan","Fasilitas Sekitar","0.073163","0.1","0.08047930000000002","1","NO"
"Tanah dan Bangunan","Lingkungan dan Risiko","0.073979","-0.1","0.0665811","1","NO"
"Tanah dan Bangunan","Lingkungan dan Risiko","0.073979","-0.05","0.07028005","1","NO"
"Tanah dan Bangunan","Lingkungan dan Risiko","0.073979","0.05","0.07767795000000001","1","NO"
"Tanah dan Bangunan","Lingkungan dan Risiko","0.073979","0.1","0.08137690000000002","1","NO"
"Tanah dan Bangunan","Potensi Pengembangan","0.061659","-0.1","0.0554931","1","NO"
"Tanah dan Bangunan","Potensi Pengembangan","0.061659","-0.05","0.05857605","1","NO"
"Tanah dan Bangunan","Potensi Pengembangan","0.061659","0.05","0.06474195","1","NO"
"Tanah dan Bangunan","Potensi Pengembangan","0.061659","0.1","0.06782490000000001","1","NO"
"Kendaraan","Kondisi Mesin","0.307629","-0.1","0.2768661","1","NO"
"Kendaraan","Kondisi Mesin","0.307629","-0.05","0.29224754999999997","1","NO"
"Kendaraan","Kondisi Mesin","0.307629","0.05","0.32301045","1","NO"
"Kendaraan","Kondisi Mesin","0.307629","0.1","0.3383919","1","NO"
"Kendaraan","Performa","0.158663","-0.1","0.1427967","1","NO"
"Kendaraan","Performa","0.158663","-0.05","0.15072985","1","NO"
"Kendaraan","Performa","0.158663","0.05","0.16659615","1","NO"
"Kendaraan","Performa","0.158663","0.1","0.17452930000000003","1","NO"
"Kendaraan","Kilometer","0.143978","-0.1","0.1295802","1","NO"
"Kendaraan","Kilometer","0.143978","-0.05","0.1367791","1","NO"
"Kendaraan","Kilometer","0.143978","0.05","0.1511769","1","NO"
"Kendaraan","Kilometer","0.143978","0.1","0.1583758","1","NO"
"Kendaraan","Tahun Produksi","0.109329","-0.1","0.0983961","1","NO"
"Kendaraan","Tahun Produksi","0.109329","-0.05","0.10386255","1","NO"
"Kendaraan","Tahun Produksi","0.109329","0.05","0.11479545","1","NO"
"Kendaraan","Tahun Produksi","0.109329","0.1","0.1202619","1","NO"
"Kendaraan","Riwayat Kendaraan","0.11098","-0.1","0.099882","1","NO"
"Kendaraan","Riwayat Kendaraan","0.11098","-0.05","0.105431","1","NO"
"Kendaraan","Riwayat Kendaraan","0.11098","0.05","0.116529","1","NO"
"Kendaraan","Riwayat Kendaraan","0.11098","0.1","0.122078","1","NO"
"Kendaraan","Merek atau Model","0.08706","-0.1","0.07835400000000001","1","NO"
"Kendaraan","Merek atau Model","0.08706","-0.05","0.08270699999999999","1","NO"
"Kendaraan","Merek atau Model","0.08706","0.05","0.09141300000000001","1","NO"
"Kendaraan","Merek atau Model","0.08706","0.1","0.095766","1","NO"
"Kendaraan","Kondisi Fisik","0.082361","-0.1","0.07412490000000001","1","NO"
"Kendaraan","Kondisi Fisik","0.082361","-0.05","0.07824295","1","NO"
"Kendaraan","Kondisi Fisik","0.082361","0.05","0.08647905","1","NO"
"Kendaraan","Kondisi Fisik","0.082361","0.1","0.09059710000000001","1","NO"
"Elektronik","Kondisi Barang","0.246353","-0.1","0.2217177","1","NO"
"Elektronik","Kondisi Barang","0.246353","-0.05","0.23403534999999998","1","NO"
"Elektronik","Kondisi Barang","0.246353","0.05","0.25867065","1","NO"
"Elektronik","Kondisi Barang","0.246353","0.1","0.2709883","1","NO"
"Elektronik","Spesifikasi Teknis","0.233252","-0.1","0.2099268","1","NO"
"Elektronik","Spesifikasi Teknis","0.233252","-0.05","0.22158939999999996","1","NO"
"Elektronik","Spesifikasi Teknis","0.233252","0.05","0.2449146","1","NO"
"Elektronik","Spesifikasi Teknis","0.233252","0.1","0.2565772","1","NO"
"Elektronik","Performa atau Fungsi","0.220513","-0.1","0.1984617","1","NO"
"Elektronik","Performa atau Fungsi","0.220513","-0.05","0.20948735","1","NO"
"Elektronik","Performa atau Fungsi","0.220513","0.05","0.23153864999999998","1","NO"
"Elektronik","Performa atau Fungsi","0.220513","0.1","0.2425643","1","NO"
"Elektronik","Usia Pemakaian","0.131082","-0.1","0.1179738","1","NO"
